382.1300 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
382.1300 	EXP 	NL_Pair: text = '1E'
382.1300 	EXP 	number_reminder: text = 'F = Odd        J = Even'
382.1300 	EXP 	letter_reminder: text = ' '
382.1300 	EXP 	NL_Pair: autoDraw = True
382.1300 	EXP 	number_reminder: autoDraw = True
382.1300 	EXP 	letter_reminder: autoDraw = True
383.2022 	EXP 	New trial (rep=0, index=5): OrderedDict([('pair', '6R'), ('allowed', 'fj'), ('correct', 'j'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
383.2326 	DATA 	Keypress: f
383.2467 	EXP 	NL_Pair: autoDraw = False
383.2467 	EXP 	number_reminder: autoDraw = False
383.2467 	EXP 	letter_reminder: autoDraw = False
383.2467 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
383.2467 	EXP 	NL_Pair: text = '6R'
383.2467 	EXP 	number_reminder: text = 'F = Odd        J = Even'
383.2467 	EXP 	letter_reminder: text = ' '
383.2467 	EXP 	NL_Pair: autoDraw = True
383.2467 	EXP 	number_reminder: autoDraw = True
383.2467 	EXP 	letter_reminder: autoDraw = True
384.1516 	EXP 	New trial (rep=0, index=6): OrderedDict([('pair', '9I'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
384.1735 	DATA 	Keypress: j
384.1967 	EXP 	NL_Pair: autoDraw = False
384.1967 	EXP 	number_reminder: autoDraw = False
384.1967 	EXP 	letter_reminder: autoDraw = False
384.1967 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
384.1967 	EXP 	NL_Pair: text = '9I'
384.1967 	EXP 	number_reminder: text = 'F = Odd        J = Even'
384.1967 	EXP 	letter_reminder: text = ' '
384.1967 	EXP 	NL_Pair: autoDraw = True
384.1967 	EXP 	number_reminder: autoDraw = True
